id,rating_total,rating_label,full_text,llm_label,comment
1,1.2,negative,"Единственный плюс был, это работа из дома. Никуда с утра ехать не нужно, все домашние удобства под рукой. Пересмотреть мотивацию сотрудников, а также их обучение. Стать более лояльными к своим сотрудникам, особенно в трудные для них периоды. Ответ представителя компании Январь 2026",,
2,2.3,negative,"Мне очень нравилось что работа рядом с домом,но к сожалению график 1/3 это очень тяжело!К тому же отношения с руководителем немного испортились ! И здоровье подкачало из-за графика и из-за переживаний за мужа! Поменять руководителя и график работы ! Так как на кассовом центе в краснодаре объем работы очень большой людей в сменах на сутках где-то 2 человека и вечером в ночь приходит только 3 ночной кассир,а где-то по 3 человека и вечером приходит 4 кассир в ночь ! Соответственно за день кассиры устают которые суточные и ночью у них уже теряется внимание и концентрация ! Ответ представителя компании Апрель 2026",,
3,2.8,negative,"График работы, возможность брать дополнительные выходные или выходить в дополнительные смены. Начать относиться к работающим по ГПХ как к людям. Не сокращать вознаграждение при растущей реальной инфляции в стране. Ответ представителя компании Январь 2026",,
4,4.5,positive,"Много возможностей для развития, хорошие условия труда и достаточно конкурентоспособная заработная плата Начиная с middle позиций есть ограничения в заработной плате, особенно если начинать со стажера, а не приходить с рынка Ответ представителя компании Январь 2026",,
5,5.0,positive,"-хайповая ЗП, никаких потолков, только мой скилл, -офис дома, главное тишину обеспечить и ок, никого не касается как при этом выглядишь и во что одет, -крутой тим, коллеги не просто планктон, а такие же заряженные ребята как и я, было с кем обмениваться фишками, -статусно, как бы дальше жизнь ни сложилась, запись в резюме о том, что работал в таком банке, будет мне в плюс. Не все так просто с карьерным ростом, если чего то хочешь добиться, нужно не просто классно работать, а еще и не нарушать дисциплину, а я грешил опозданиями. Ответ представителя компании Февраль 2026",,
6,4.8,positive,"Коллектив попался отличный: от адаптации до выхода в боевую группу. Большинство молодые, руководительнице моей группы было около 25 лет. На всех этапах руководители поддерживали. На моей вакансии была возможность выходить на неполный день, что было очень удобно, но не учитывают местное время, но это было не сильно критично, т.к. у меня +2ч к мск. Выходные плавающие, на этой неделе могли поставить 4 рабочих дня, а на следующей 6 дней. Подарки на праздники, льготные продукты и сервисы банка, ДМС со стоматологией, добросервис, куда входят финансовые, юридические, психологические и ЗОЖ-консультации, которыми можно было пользоваться бесплатно. Часовая ставка хорошая, премия тоже, на неё влияешь прямым образом. Пока что самое лучшее место, где я работала. Некоторые клиенты неадекватные; Не учитывается местное время; По словам коллег - график 2/2 не соблюдается, его выстраивают по потребности на линии; Резко может измениться время начала смены, из-за чего график нужно проверять в начале дня и в конце. Из приложения приходит уведомление, что график работы изменён, но не всегда и может опоздать. Ответ представителя компании Январь 2026",,
7,5.0,positive,"-система оплаты труда, хороший оклад плюс мотивационная часть и приличный соцпакет, -комфортный офис и было удобно добираться от моего дома, -дружелюбные коллеги, -понятные задачи и реалистичный kpi, -полноценный ДМС со стоматологией и компенсация фитнеса. -меньше внимания уделять вопросам дисциплины, особенно что касается опозданий, сделать акцент на результате. Ответ представителя компании Март 2026",,
8,2.8,negative,"1. Возможность работать удаленно, дома. 2. Хороший дружный коллектив, который в любой момент поможет. 3. Дружелюбное начальство.",,
9,4.8,positive,"Нереально крутой офис, великолепный условия для работы и отдыха. Динамичный, крутой коллектив. Интересные и разнообразные задачи Сильный бренд Нужно быть готовым к ненормированому рабочему дню, но этого никто и не скрывает при трудоустройстве, всё честно Ответ представителя компании Июнь 2026",,
10,4.0,positive,"Консультирую клиентов по различным вопросам - иногда попадаются сложные кейсы, тогда консультируюсь с более опытными коллегами - никто не оставляет наедине с проблемами. Коллектив, конечно, у нас отличный. Несмотря на то что работаю из дома, не чувствовал себя одиноко, без поддержки))) Иногда попадаются очень сложные клиенты, которые адекватных объяснений просто не понимают. Ответ представителя компании Март 2026",,
11,5.0,positive,"Мне работа нравилась за отсутствие рутины. Плюс каждая успешная встреча это драйв. Платили всегда вовремя и через бот я отслеживал свою статистику. Регулировать доход научился быстро, тут все просто: чем больше дополнительных продуктов банка продал, тем больше на карту получил и никак иначе. В отличие от дистанционного консультанта, я должен был отвечать на все вопросы сходу, то есть полноценно владеть всем объемом информации по продуктам и услугам. До сих пор удивляюсь, как у меня тогда не стала квадратной голова. Ответ представителя компании Март 2026",,
12,4.3,positive,"Хорошее место для старта и набора опыта общения с людьми, навыкам продаж. Идеально для студентов. Хорошо для подработки. Погоня за показателями, убивает комфорт, стабильность, внутреннюю уверенность сотрудника. Делают упор на обучение новых, а не на сохранение старых. За последнее время сильно изменилось отношение к сотрудникам. Руководство делегирует важные рабочие моменты на низший руководящий состав, который не всегда бывает компетентен. Вследствие чего упускает, на мой взгляд, ключевые моменты взаимодействия с сотрудниками. Ответ представителя компании Март 2026",,
13,2.7,negative,"Крутой коллектив ! Появились друзья на работе с которыми есть желание общаться и в не работы ! Много амбициозных и выполнимых задач. Совет всем кто читает ! Не увольняйтесь до выплаты квартальной премии , ато ее на заплатят . Даже если ты отработал полный квартал ( как я весь 1) и уволишься за несколько недель до выплаты премии , то тебе ее не заплатят. Выводы делайте сами Полезный отзыв Это полезный отзыв 1 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Май 2026",,
14,4.0,positive,"Неплохо работалось. Понятные задачи, честно платили и главное коллектив. Такой классный народ, первое время все никак не мог привыкнуть, что абсолютно нет конкуренции. Меня сразу очень тепло приняли в команду, даже не понял сам, как адаптировался и со всеми подружился. В реале, конечно редко доводилось видеться, но зато заочно регулярно что-то мутили. Работа сопряжена с непосредственным общением с клиентами, то есть лицом к лицу и не менее 15 встреч в день. Я от этого подвыгорел за 3 года. Ответ представителя компании Май 2026",,
15,1.8,negative,"Есть интересные бенефиты для сотрудников (обеды, хороший ДМС). Есть гибридный формат работы Процессы в компании нуждаются в структурировании и улучшении. Не всегда понятно кто за что отвечает Ответ представителя компании Май 2026",,
16,4.7,positive,"Понравилась сама работа, прозрачные условия труда, выполнения обещаний руководством. KPI присутствует, но адекватный. График кому как, но для меня был удобный Уровень оплаты труда. По сравнению с другими банками, зп мизерная, учитывая то, что речь идет об одним из топовых банков Ответ представителя компании Апрель 2026",,
17,2.8,negative,"Во времена, когда я работал, офис был в хорошем состоянии. Зарплата приходила вовремя. Да в общем все остальное: отношение к сотрудникам, рабочие места, оценку эффективности работы и т.д. Ответ представителя компании Март 2026",,
18,2.7,negative,"Хороший современный офис, оборудованная столовая, постоянная поддерживаемая идеальная чистота. Улучшить отношение к своим сотрудникам. Ставить их выше неадекватных клиентов и платить достойную зарплату. Ответ представителя компании Апрель 2026",,
19,4.7,positive,"Удаленный режим работы, письменные обращения, возможность помогать клиентам посредством чата Увеличить окладную часть и время ответа на чаты, дать возможность постоянных подработок в удобное для сотрудника время Ответ представителя компании Март 2026",,
20,5.0,positive,"- стабильность и хороший доход, был оформлен записью в трудовую с первого дня, выплаты заработной платы не задерживали, -понятный объем задач и отсутствие несвойственных функций, -масштабное обучение, в том числе освоил работу с интонацией, убедительностью и аргументацией, -здоровая атмосфера и приятный коллектив, общение с коллегами строилось на взаимном уважении деловом подходе, -хорошие условия медицинского страхования, стоматология тоже была предусмотрена. -сложно не погружаться эмоционально в ситуацию клиента, -имеет смысл предлагать на выбор бонусы от банка или денежную компенсацию, если не пользуешься. Ответ представителя компании Февраль 2026",,
21,2.3,negative,"Изначально в компании все было очень хорошо , былт много подработок ,был хороший уровень зарплаты, потом набрали 800 человек народу, произошло перенаимпновании компании ,работы стало мало ,зарплату сокращали 3 раза ,ухудшали уровень зароботка задавливая коэффициентами скорости и качества ,и в один момент просто распрощались с людьми уволив поочередно и внеся в черный список ,уровень дохода упал ,варьируется от 30 до 50 тысяч ,ранее зарабатывали от 100 тыс Поменять руководство, вернуть уровень зарплат, не относится к людям как к стаду который не имеет своего слова Ответ представителя компании Май 2026",,
22,2.7,negative,"Рабочий график, есть выбор, перерыв в любое время, удобный перевод между подразделениями Зарплата, оплата больничных, больше обучений и поддержки от руководства. Лояльность Ответ представителя компании Март 2026",,
23,4.3,positive,"Хороший стабильный график,отличная система обучения новых сотрудников,внутренний портал для развития сотрудника внутри компании. Не могу пожаловаться на что то конкретное,сменил работу т.к было далеко от дома и хотелось быть чаще дома по времени Ответ представителя компании Апрель 2026",,
24,4.0,positive,"гибкий график, за день можно между встречами отдыхать, можно договориться с руководством, хорошая зп приходится перерабатывать, работа разъездная, приходится за день проходить от 20 до 30 тыс шагов Полезный отзыв Это полезный отзыв 2 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Тольятти, Май 2026",,
25,2.7,negative,"Возможность самому влиять на уровень дохода. Изучение нового в сфере продаж. «Свободный» график Слишком много работников в сфере доставки продуктов Т-банка. Что напрямую влияет на уровень дохода. При занятости весь день доход может оставаться в районе 2000-3000. Полезный отзыв Это полезный отзыв 3 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Май 2026",,
26,5.0,positive,"Свобода выбора графика, возможность работы из дома, наставничество, регулярные обучения для повышения уровня ЗП зависит от количества заявок, которые ты оформил. Те, если не сделал план, максимум получишь 6000 руб. Хотелось чтоб все же минимум был МРОТ Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Май 2026",,
27,5.0,positive,"Устроилась в банк без опыта. Научилась всему за месяц. Огромное спасибо наставнику за помощь, да и всей команде в целом. Обучение неделю всего было, много училась уже в дальнейшем. Рада, что все получилось, потому что сейчас комфортно работать. Все получается. Уже давно не реагирую на негатив от отдельных клиентов. Работаю в удобном для себя графике и неплохо зарабатываю. Можно всегда больше платить, я не думаю, что есть люди, которые будут отказываться. В остальном я проблем пока не вижу. Ответ представителя компании Февраль 2026",,
28,2.7,negative,"В целом ребята все неплохие. Когда устраиваешься все подготовят сами, неплохая система обучения. Условия труда, отношение к работнику. Внутреннюю атмосферу, культивация мата в коллективе это лютый треш. Ответ представителя компании Март 2026",,
29,4.7,positive,"Хорошая инженерная культура. Отношение к отрудникам и соц пакет. Отличный офис на Белорусской Итак все нормально. Компания достаточно делает для своих сотрудников, улучшать нечего Ответ представителя компании Май 2026",,
30,1.3,negative,"Слишком много обязанностей, не связанных с должностью, нечего больше добавить. Компания экономит. Обязанности, взваливаемые на роль ""Руководитель группы разработки"" должны разделяться как минимум натри отдельные должности. Компания экономит. Полезный отзыв Это полезный отзыв 6 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Май 2026",,
31,4.0,positive,"Быстрое трудоустройство и не затянут период первоначального обучения. Сама по себе работа достаточно интересная, но сложная. Помочь человеку выпутаться из долгов та еще задачка. Самые приятные воспоминания у меня связаны с коллективом, отлично общались даже дистанционно, а при очень встречах так и вовсе зажигали на ура. Со стороны нанимателя не было инициативы по сплочению команды, а очень бы не помешали выездные праздники, челленджи и корпоративы. Ответ представителя компании Апрель 2026",,
32,5.0,positive,"Проработал в отделе взыскания Т банка 3 года и очень рад, что у меня был в карьере такой этап. Прежде всего сама возможность ссылаться в резюме на работу здесь - однозначный плюс, а кроме этого, удалось приобрести много полезных навыков. В частности я виртуозно научился управлять собственным голосом, раньше даже не подозревал, что это настолько влияет на убедительность. Работать с взысканием задолженности и не пропускать негатив через себя практически невозможно, очень устал от печальных историй клиентов. Ответ представителя компании Май 2026",,
33,2.2,negative,"1.Грфик работы выбираешь сам но где и сколько работать не всегда можно выбрать,иногда меняют регион оказания услуг без согласования. 1.Распределение количества встреч,планы продаж, компенсация топлива, депонирования, работа до 23 ночи. Ответ представителя компании Март 2026",,
34,4.5,positive,"Свободный выбор графика, удобство в удалённом формате, отличные наставники и куратор группы. Развитие и карьерный рост. Улучшить можно было бы систему оценок, повысить доход за время на линии и добавить мотиваций в функционал. Ответ представителя компании Март 2026",,
35,1.3,negative,"Выплаты и гсм приходят отдельно. Сам выбираешь рабочие дни. Обучение легкое и понятное 1300р в день это очень мало. Мало дают встреч. Часто по 2 визита в день. Очень большой километраж в день - дают одни сёла и деревни, далеко от города Ответ представителя компании Март 2026",,
36,5.0,positive,"В принципе норм было, много ездила, каждый день по несколько десятков встреч это интересно, когда только пришла на эту работу, я стеснялась разговаривать с незнакомыми людьми, сейчас же подойду к кому хочу и спрошу что хочу, без сомнений и стеснения, и каждый человек по-своему может раскрыться в общении, нужно грамотно вести беседу, но темп работы слишком быстрый лично для меня., поэтому решила уйти на офисную работу, на которой пригодились все умения приобритенные на должности представителя. Глобально ничего, наверное но для меня постоянные разъезды оказались сложными, перебралась в офис. Ответ представителя компании Март 2026",,
37,2.0,negative,"Стабильный график, стабильная , но маленькая зарплата , ДМС ,дополнительный отпуск за переработки Все можно улучшить , для начала повысить сотрудникам заработную плату , и нормально ее структурировать , а то сегодня премия есть а завтра нет Ответ представителя компании Февраль 2026",,
38,2.5,negative,Практически всегд найдешь хороший коллектив Разъездной характер работы Общение с новыми людьми Более менее выбор графика Выплата вознаграждения без задержек Распределение встреч не умелое Компенсация ГСМ низкое Много и дорогие штрафы Отправление по принуждению в другой регион работы Изменения графика работы Высокие требования к продажам Ответ представителя компании Май 2026,,
39,5.0,positive,"Дружная команда, понимающий и чуткий руководитель. Достойная зарплата, возможность влиять на процессы Существует разобщенность между отдельным кросс командами, некоторые команды существуют в собственном ""мире"" Ответ представителя компании Май 2026",,
40,5.0,positive,"Отличный работодатель как для старта карьеры, так и для сильных экспертов. Постоянно драйвит высокий уровень технологичности. Коллектив гибкий, молодой и талантливый, большинство процессов хорошо отлажено. Можно работать с уникальными продуктами, которым сложно придумать конкуренцию. Всё вместе создаёт крутую атмосферу и большое пространство для роста. У Т-Банка множество продуктов и ещё больше внутренних технологий, поэтому иногда возникает путаница в зонах ответственности, даже если доработки небольшие, от чего возникает перебор с количеством встреч и разных уточнений. Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Санкт-Петербург, Май 2026",,
41,4.7,positive,- Уровень дохода - Хорошие коллеги и руководители - Бесплатное питание - ДМС со стоматологией - Возможность удаленной работы - Шикарные офисы - Трансфер до офиса - Хороший Work life balance - Уровень бюрократии - Выделять больше денег на обед - Индексация зарплаты соразмерно инфляции Ответ представителя компании Апрель 2026,,
42,4.0,positive,"1.Зарабатывал хорошие деньги и доказал отцу, что и без высшего образования, добиться можно много. 2.Здорово прокачал мозги, научился разбираться в финансовых вопросах и грамотно обращаться с деньгами. 3.Обрел настоящих друзей, коллектив в банке топовый. 1.Увеличить разбежку между встречами. 2.Предоставить представителю безлимит на топливо. 3.Выделять деньги на кофе-брейк и обед, чтобы питание в течение дня было за счет банка. Ответ представителя компании Май 2026",,
43,4.7,positive,"Стабильные выплаты, обучения за счет работодателя, возможность перехода на вакансии внутри компании, хорошая заработная плата, и относительно быстрое повышение в должности( все зависит от тебя). Руководители и сотрудники всегда отзывчивые и дружелюбные. Большой плюс официального трудоустройства, оплачиваемые больничные. Было бы хорошо пересмотреть аналитику, так как не всегда она работает в плюс сотрудникам. Ответ представителя компании Апрель 2026",,
44,2.7,negative,"Удаленная работа, добровольное медицинское страхование (ДМС), современная корпоративная культура. Увеличить заработную плату, пересмотреть мотивацию, учитывать пожелания по графику работы. Ответ представителя компании Май 2026",,
45,4.5,positive,"Удобный график, работа удаленная, хорошая коммуникация сотрудников и вышестоящих. Зп сильно колебалась вне зависимости от сотрудников, но это было в 2024 году. Жить на тот момент с зп 20-25 т. было тяжело Ответ представителя компании Январь 2026",,
46,5.0,positive,"Не жалею, что сразу после школы не стал поступать в универ, а на 3 года завис здесь. Я разобрался в самом себе, в людях и окружающем мире. Понял, что юриспруденция - это вообще ни разу не мое, поступил учиться на менеджера. Совмещать заочку с работой не захотел, выбрал дневную форму обучения. Накопленных здесь знаний и опыта мне хватает, чтобы сейчас гораздо лучше усваивать учебный материал и неплохо проявить себя на стажировке. Отсутствие многих полезных бонусов, вроде ДМС, компенсации фитнеса, бесплатного питания…все это положительно сказалось бы на моей эффективности. Ответ представителя компании Май 2026",,
47,2.8,negative,"Открытые люди, общение на ты, всегда помогут и подскажут, что и как. Если что-то не знаешь или не понимаешь всегда можно уточнить на линии в реальном времени Сделать возможность роста более гибким. Можно повыситься до ""старшего"" Оператора кол центра, но дальше возможности практически нет Ответ представителя компании Март 2026",,
48,5.0,positive,"Было хорошее обучение. Первое время ездил на встречи с более опытным сотрудником, который подсказывал, помогал, после встреч обязательно разбирали, что можно было сделать лучше. Вышел самостоятельно, когда был готов. Дополнительные продажи шли неплохо, за счет чего зарплата была высокой. Платили всегда без задержек. Уставал от общения, половину встреч еще энтузиазма хватало на максимум отработать, а потом моя социальная батарейка садилась. Ответ представителя компании Февраль 2026",,
49,2.8,negative,"Возможность работать из дома Коллектив Руководитель ДМС Постоянная смена регламента Низкая мотивация Жесткий уровень оценки, нужно быть роботом, чтобы заработать премию Пожелания к графику учитываться стали все реже Нельзя взять отгул за свой счет, при форс мажорах Полезный отзыв Это полезный отзыв 6 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Май 2026",,
